Screen title @ Exact,ID,Region,Release date,Developer,Publisher,Tags,MAME filename,MD5,SHA1,SHA256,SHA512
Bakatono-sama Mahjong Manyūki@バカ殿様麻雀漫遊記,bakatonosamamahjongmanyuuki,Japan,1991-12-13,Monolith,Monolith,#input:joystick>8:buttons>19 #players:1 #genre:board>mahjong #arcadeboard:snk>mvs #search:keyword>strip #lang:ja #mameparent,bakatono.zip,780e7387939f2573b452704f5ebb5881,f31ad351ce5fe3092c37f747ac2ee6f6d63fd2fe,4fcadd777dc1cfe00d238a951426cdcfa4e87ad1c06bff3ec0e18ede8cf666dd,5d5bab20e8b06142577871e6299be1d8263172f5de738e85b244f402c61595c74decdb1acc6deb4e541273487750976ef9dbcbf935d301cf46dc980f046e70cf
Bakumatsu Rōman: Gekka no Kenshi / The Last Blade@幕末浪漫 月華の剣士 / The Last Blade,bakumatsuromangekkanokenshi,World,1997-12-05,SNK,SNK,#input:joystick>8:buttons>4 #players:2:vs #genre:fighting #arcadeboard:snk>mvs #lang:ja:en #mameparent,lastblad.zip,afad9c614aa9a97147be17da55b6810e,8202ced66e87e9167c9359210bf397ef1ec71880,e3bc3871475891d6ff99bfcdfbb9bfee1c8ca8e02708c608e0222d8a3ddc26f2,a26ee90933c3c197c798115c38caf12806635df90452ac316a6e3a110480aa884a4aa8f3a222c1cccdb0234408f81f70f6c2fa6d490cd6251fc1963d6860908f
The Last Soldier,bakumatsuromangekkanokenshi,South Korea,1997,SNK,SNK,#input:joystick>8:buttons>4 #players:1 #genre:fighting #arcadeboard:snk>mvs #lang:en,lastsold.zip|lastblad.zip,afad9c614aa9a97147be17da55b6810e,8202ced66e87e9167c9359210bf397ef1ec71880,e3bc3871475891d6ff99bfcdfbb9bfee1c8ca8e02708c608e0222d8a3ddc26f2,a26ee90933c3c197c798115c38caf12806635df90452ac316a6e3a110480aa884a4aa8f3a222c1cccdb0234408f81f70f6c2fa6d490cd6251fc1963d6860908f
Bakumatsu Rōman Dai Ni Maku: Gekka no Kenshi: Tsuki ni Saku Hana‚ Chiri Yuku Hana / The Last Blade 2@幕末浪漫第二幕 月華の剣士 月に咲く華、散りゆく花 / The Last Blade 2,bakumatsuromandainimakugekkanokenshi,World,1998-11-25,SNK,SNK,#input:joystick>8:buttons>4 #players:2:vs #genre:fighting #arcadeboard:snk>mvs #lang:ja:en #mameparent,lastbld2.zip,2b3f34ad69cfb02d9e2ab87b639e8c0f,c49a94d9ef6e31c5ab869f4915039a738155dcfc,7a227510f39d1202486e1d225ae6fab52d361f5416d83f6221892c3fdf52b6e5,b1941da599b6118e082c3ea76b462b935e6ede9d2f0833f41023ccd6dda35827b6eb19852f61b48e458acfd421e039db653afd3ca4dadf01175018fca6445c3f
Bang Bead,bangbead,World,2000,Visco,SNK/Visco,#input:joystick>8:buttons>3 #players:2:vs #genre:sports #arcadeboard:snk>mvs #lang:ja:en #mameparent,bangbead.zip,2558c293d7538c1d4f7748d9a6ff84d5,a4e575e3a799ae94038ee028d92655163d27ea17,8a1d50942215c36aff1ae22122297bd8e060da542c2eb59dfeff47724cd87d4e,e206fb436152b28ef8dad0efb23fad902b066ca6fb8ad3c7d4f5839118e9de12eb1d7ad8bef7d2c7315ea9a8a2c4d249c63c3bd18dbd8b809a1e2a6da3a14f3a
Bang² Busters@Bang² Busters バンバンバスターズ,bangbangbusters,World,,Visco,Visco,#input:joystick>8:buttons>2 #players:2:coop #genre:action>platformer #arcadeboard:snk>mvs #lang:ja:en #unfinished:proto #mameparent,b2b.zip,a76379f47b349b748a70ceffb0cfc737,0805c60f64a5f07bc00804a4cfd6bb35c3847d67,972fed498618c6c046c0e52c4908cde2e3c1d69aac40a55aa1cd67e5774f33e1,cdadaaba31d9992cb50b29e886221642896e73933ab7f3d90bd05fd6186d9808136026d4599184ca014bed425f5fb007d6010b0bbf0ef39fd14185d42c6275c9
Baseball Stars Professional,baseballstarsprofessional,World,1990-04-26,SNK,SNK,#input:joystick>8:buttons>4 #players:2:vs #genre:sports>baseball #arcadeboard:snk>mvs #lang:ja:en #mameparent,bstars.zip,a5dde8a8b66e61549b34d0b96aa1f293,71930e4c4c71c047f88d846cba00871c66305d3d,457dcb290f630f525273ccd8824e44f1dd31c2bc45c766f01d1d6dd6b08df63b,11a5f497f4ebcec3ad826971b069beb4d38c19d671574af0b65e653bb7eacf512ea0d56caad4d9d27eef03c16f84c09088c16d5f18f455816f6da7f78bbe7c7f
Baseball Stars 2,baseballstars2,World,1992-04-15,SNK,SNK,#input:joystick>8:buttons>4 #players:2:vs #genre:sports>baseball #arcadeboard:snk>mvs #lang:ja:en #mameparent,bstars2.zip,4b5b48684237ffca67bba7d3c7d6135d,265512237eb7a58c5ac4d9c78e1eeebd43306b11,cbfb016c977510d25fac93a92a751cee14e1054a0ccb4476bfb5ce7e4ebfe082,e02859e67ca276d26ec112d459f810a12f6f4d6ac2a19327b4670c3723262d32f9fa454952f7524237f0cdf023c0d11cb860b6415c54392dcfb0d276c448badd
Battle Field,battlefield,Japan,1987,Alpha Denshi,SNK,#input:joystick>rotary>8:buttons>2 #players:2:coop #search:tate>cw #genre:action>runandgun #arcadeboard:snk #lang:ja,btlfield.zip|timesold.zip,608ba258603db7ae3f08f371105c66cd,341fd10c3aef32f72a8989c7625007eafdec6877,dec50c9e82b93bb7678f8c1e9ebab55bc8ca2908d049315e387148284bbd7b8e,80ca0161620976d08acb7c0c252918d44528dacb68656682fb7e663b8853a16c4d3d42bc8af809a71ed278043eccb2e51613126134123d1dd43667b4c804380b
Battle Field,battlefield,Japan,1987,Alpha Denshi,SNK,#input:joystick>rotary>8:buttons>2 #players:2:coop #search:tate>cw #genre:action>runandgun #arcadeboard:snk #lang:ja #unlicensed:bootleg,btlfieldb.zip|timesold.zip,608ba258603db7ae3f08f371105c66cd,341fd10c3aef32f72a8989c7625007eafdec6877,dec50c9e82b93bb7678f8c1e9ebab55bc8ca2908d049315e387148284bbd7b8e,80ca0161620976d08acb7c0c252918d44528dacb68656682fb7e663b8853a16c4d3d42bc8af809a71ed278043eccb2e51613126134123d1dd43667b4c804380b
Time Soldiers,battlefield,USA,1987,Alpha Denshi,Romstar/SNK,#input:joystick>rotary>8:buttons>2 #players:2:coop #search:tate>cw #genre:action>runandgun #arcadeboard:snk #lang:en #rev:1,timesold1.zip|timesold.zip,608ba258603db7ae3f08f371105c66cd,341fd10c3aef32f72a8989c7625007eafdec6877,dec50c9e82b93bb7678f8c1e9ebab55bc8ca2908d049315e387148284bbd7b8e,80ca0161620976d08acb7c0c252918d44528dacb68656682fb7e663b8853a16c4d3d42bc8af809a71ed278043eccb2e51613126134123d1dd43667b4c804380b
Time Soldiers,battlefield,USA,1987,Alpha Denshi,Romstar/SNK,#input:joystick>rotary>8:buttons>2 #players:2:coop #search:tate>cw #genre:action>runandgun #arcadeboard:snk #lang:en #rev:3 #mameparent,timesold.zip,608ba258603db7ae3f08f371105c66cd,341fd10c3aef32f72a8989c7625007eafdec6877,dec50c9e82b93bb7678f8c1e9ebab55bc8ca2908d049315e387148284bbd7b8e,80ca0161620976d08acb7c0c252918d44528dacb68656682fb7e663b8853a16c4d3d42bc8af809a71ed278043eccb2e51613126134123d1dd43667b4c804380b
Battle Flip Shot,battleflipshot,World,1998-12-08,Visco,SNK/Visco,#input:joystick>8:buttons>3 #players:2:vs #genre:sports #arcadeboard:snk>mvs #lang:ja:en #mameparent,flipshot.zip,73b76b9c3415a550429915b18ada3f4b,ffe429772381a176ef3ab9ab0a57390534d9343e,6f7e94140787cad839d34fd53033307b2e91a14d1fbc701a64da1d4e65f0e616,4cd5a7d8ceb72e69ae238f07916f2ab523fb723b6fc319f5d774674858e923cd71c6a2723f5987f7b7c0337f4398da092afc138d8c0391e5ec9dddfd9eaf9ad1
Beast Busters,beastbusters,Japan,1989,SNK,SNK,#input:stick:buttons>2 #players:3:coop #genre:shooting>gallery #arcadeboard:snk #lang:en,bbustersj.zip|bbusters.zip,d13abce8e1c03528caf5aa3b0bf8b327,9573bb85ae3ea84efff78bafa0be28473a9777d3,366ecfe81116628b786f2483acd5f504c34e00c3c969139eb812449f0db9bc96,584fdb9169949bcc636650d5ab3f9f433119775a60d44749863aa5ea011cdc9653d33106a958d2abef13e5cbe28dc3ff81eedbf60993836ebd9d2eaf2a05b1b8 
Beast Busters,beastbusters,Japan,1989,SNK,SNK,#input:stick:buttons>2 #players:2:coop #genre:shooting>gallery #arcadeboard:snk #lang:en,bbustersja.zip|bbusters.zip,d13abce8e1c03528caf5aa3b0bf8b327,9573bb85ae3ea84efff78bafa0be28473a9777d3,366ecfe81116628b786f2483acd5f504c34e00c3c969139eb812449f0db9bc96,584fdb9169949bcc636650d5ab3f9f433119775a60d44749863aa5ea011cdc9653d33106a958d2abef13e5cbe28dc3ff81eedbf60993836ebd9d2eaf2a05b1b8 
Beast Busters,beastbusters,USA,1989,SNK,SNK,#input:stick:buttons>2 #players:3:coop #genre:shooting>gallery #arcadeboard:snk #lang:en,bbustersu.zip|bbusters.zip,d13abce8e1c03528caf5aa3b0bf8b327,9573bb85ae3ea84efff78bafa0be28473a9777d3,366ecfe81116628b786f2483acd5f504c34e00c3c969139eb812449f0db9bc96,584fdb9169949bcc636650d5ab3f9f433119775a60d44749863aa5ea011cdc9653d33106a958d2abef13e5cbe28dc3ff81eedbf60993836ebd9d2eaf2a05b1b8 
Beast Busters,beastbusters,USA,1989,SNK,SNK,#input:stick:buttons>2 #players:3:coop #genre:shooting>gallery #arcadeboard:snk #lang:en,bbustersua.zip|bbusters.zip,d13abce8e1c03528caf5aa3b0bf8b327,9573bb85ae3ea84efff78bafa0be28473a9777d3,366ecfe81116628b786f2483acd5f504c34e00c3c969139eb812449f0db9bc96,584fdb9169949bcc636650d5ab3f9f433119775a60d44749863aa5ea011cdc9653d33106a958d2abef13e5cbe28dc3ff81eedbf60993836ebd9d2eaf2a05b1b8 
Beast Busters,beastbusters,World,1989,SNK,SNK,#input:stick:buttons>2 #players:3:coop #genre:shooting>gallery #arcadeboard:snk #lang:en #mameparent,bbusters.zip,d13abce8e1c03528caf5aa3b0bf8b327,9573bb85ae3ea84efff78bafa0be28473a9777d3,366ecfe81116628b786f2483acd5f504c34e00c3c969139eb812449f0db9bc96,584fdb9169949bcc636650d5ab3f9f433119775a60d44749863aa5ea011cdc9653d33106a958d2abef13e5cbe28dc3ff81eedbf60993836ebd9d2eaf2a05b1b8 
Bermuda Triangle,worldwars,Japan,1987,SNK,SNK,#input:joystick>8:buttons>2 #players:2:coop #search:tate>ccw #genre:shmup>v #arcadeboard:snk #lang:en,bermudatj.zip|bermudat.zip,c3e7ca294c14a2b7c9736b0b9eacf095,fc6b663c5fd25b266b294177c9892a302ad4dada,f55f578378c37093e5e88ca6550a53f92f192acd910dc2addcf49b4cfb31b546,d8c7bb2a50b9481f7adf0ac72bb15c5fb484245fc92ffd7aa1df58b31bb2fc6ce9000ecbeae62545c649209f583f0e3236c14d964cd1eedf777e4802746e6a0f
Bermuda Triangle,worldwars,World,1987,SNK,SNK,#input:joystick>8:buttons>2 #players:2:coop #search:tate>ccw #genre:shmup>v #arcadeboard:snk #lang:en #mameparent,bermudat.zip,c3e7ca294c14a2b7c9736b0b9eacf095,fc6b663c5fd25b266b294177c9892a302ad4dada,f55f578378c37093e5e88ca6550a53f92f192acd910dc2addcf49b4cfb31b546,d8c7bb2a50b9481f7adf0ac72bb15c5fb484245fc92ffd7aa1df58b31bb2fc6ce9000ecbeae62545c649209f583f0e3236c14d964cd1eedf777e4802746e6a0f
World Wars,worldwars,World,1987,SNK,SNK,#input:joystick>8:buttons>2 #players:2:coop #search:tate>ccw #genre:shmup>v #arcadeboard:snk #lang:en #mameparent,worldwar.zip,58ebd55147ba5c605939258adbe16888,579d4ff4b04334b52ab6027d858e78e3f5fb2db6,646afcfeedbba9c5b4b8cc95f60ea81fbceb1e9893c3b35ed5ba3cb76ceb3b0e,68600eede93f6ebf82ef5d96f66ac164fde843faefed29784bae51942f2c4c1d85b91d39522fb42855b178fef5c1a94e00faaad69822e90e7fe9b0e4782efc3d
Big Tournament Golf / Neo Turf Masters,bigtournamentgolf,World,1996-01-29,Nazca,SNK,#input:joystick>8:buttons>3 #players:2:vs #genre:sports #arcadeboard:snk>mvs #lang:ja:en #mameparent,turfmast.zip,94592ad1126ac22f3767c46ad06dbe19,258d3d0a208d2470f0a1d145ddd9a9d35e3db6f1,fb0c49b6ed1af4b99dbb8933d4f7a16d72043892d3d62fd9153912841017da40,22ea895edab15b7eb57d9a3867e4bb0fce8bc42ca766ec9bcb5f1ad79c852a01ed0ee2fb0a6fc81be375473a264e833ae1f773cf1ec6b3adfdd7f466d9f09df1
Blazing Star,blazingstar,World,1998-01-19,Yumekobo,SNK/Yumekobo,#input:joystick>8:buttons>2 #players:2:coop #genre:shmup>h #arcadeboard:snk>mvs #lang:ja:en #mameparent,blazstar.zip,fe8087667dc4cc4465eeff4ba4f50dd6,e29ef4455e05d552f2b21875f212388fecb7a013,ce757efc7d20cdbfae277a10ac09c086ae0e906d8d276a7cabe725f4f6df1ab8,ad3bc0a73f254bbe6c529c81dae20f004e666ace94d68e0384e9aab5eac2e570b20d03e8bacd93e89a84eda7cd5840be163e2684a9f9f64722690195504acbbc
Bomberman: Panic Bomber@ボンバーマン ぱにっくボンバー / Bomberman: Panic Bomber,panicbomber,World,1995-01-18,8ing/Hudson,SNK,#input:joystick>4:buttons>1 #players:2:vs #genre:puzzle>drop #arcadeboard:snk>mvs #lang:ja:en #mameparent,panicbom.zip,590c1a19c4200a42d98fe1c1431a60d4,7c36cb463f782061330ed94eae6d3d3e015df139,62c7bdd7b75e12c863f9388dfd75ea2134ea065269e8e0f1adf931bc31d80045,5ea06a8752686409b7c9f5f897eedae39f32fd7f2f0e97053b1e6441274f04ae43bfe8ac33fd8af6acdc3b101dcc855ad1b0f19be5a3581eb54db02f4f02993d
Breakers,breakers,World,1996-12-17,Visco,SNK/Visco,#input:joystick>8:buttons>4 #players:2:vs #genre:fighting #arcadeboard:snk>mvs #lang:ja:en #mameparent,breakers.zip,0139bfa9cf33977a4537178952fbbb8a,e5b73f08afde186f573ce835b0782c9d8ec9fe65,2e2c1659b0bc85900d7f704a2c9f51fadee02d4dac9176468703fcf49f82bb2d,1766257a01e66646766c5fb60a58821a55af986097e4214a914830f9249ba49f519ef4f2904db89242dac7c4fa6838c7465ca426022e4f92160e047e36d1ecd2
Breakers Revenge,breakersrevenge,World,1998-07-03,Visco,SNK/Visco,#input:joystick>8:buttons>4 #players:2:vs #genre:fighting #arcadeboard:snk>mvs #lang:ja:en #mameparent,breakrev.zip,95d63f0311be00b45144d682ecb88473,d8710500d08730c9421bdacdd3f1e2039d1488a3,751e874a0b384b5d705816497b09eb75aca4c5f598a933b3591016084cc99377,411111c9c1c7208aeb760871d922110bc015d618ffa077311e73846625740d0f6eec088cd274bb9cc14debb6393c5031e3c65deceeee301860ec52a302ed567b
Burning Fight,burningfight,World,1991-05-20,SNK,SNK,#input:joystick>8:buttons>4 #players:2:vs #genre:brawler #arcadeboard:snk>mvs #lang:ja:en #mameparent,burningf.zip,d796ff6be560b6808dc4b16973ba61f6,cda0e9dd68846d71083023a1b657c5c7729a7b36,c5d8f83c8db7492a655947c5e48065e7aa693b5b30671e474a8b88a538855279,9fd4627a4fe2bc04321081ade710f2bbe6f7ddd3cfbdf8a0deaea06a9f2fb1a108ba0a70cf1ec6c169384334338c14389398c27e6086d60ee629f78595c8b8d7
Burning Fight,burningfight,World,,SNK,SNK,#input:joystick>8:buttons>4 #players:2:vs #genre:brawler #arcadeboard:snk>mvs #lang:ja:en #unfinished:proto,burningfp.zip|burningf.zip,d796ff6be560b6808dc4b16973ba61f6,cda0e9dd68846d71083023a1b657c5c7729a7b36,c5d8f83c8db7492a655947c5e48065e7aa693b5b30671e474a8b88a538855279,9fd4627a4fe2bc04321081ade710f2bbe6f7ddd3cfbdf8a0deaea06a9f2fb1a108ba0a70cf1ec6c169384334338c14389398c27e6086d60ee629f78595c8b8d7
Burning Fight,burningfight,World,,SNK,SNK,#input:joystick>8:buttons>4 #players:2:vs #genre:brawler #arcadeboard:snk>mvs #lang:ja:en #unfinished:proto,burningfpb.zip|burningf.zip,d796ff6be560b6808dc4b16973ba61f6,cda0e9dd68846d71083023a1b657c5c7729a7b36,c5d8f83c8db7492a655947c5e48065e7aa693b5b30671e474a8b88a538855279,9fd4627a4fe2bc04321081ade710f2bbe6f7ddd3cfbdf8a0deaea06a9f2fb1a108ba0a70cf1ec6c169384334338c14389398c27e6086d60ee629f78595c8b8d7
Burning Fight,burningfight,World,,SNK,SNK,#input:joystick>8:buttons>4 #players:2:vs #genre:brawler #arcadeboard:snk>mvs #lang:ja:en #unfinished:proto,burningfpa.zip|burningf.zip,d796ff6be560b6808dc4b16973ba61f6,cda0e9dd68846d71083023a1b657c5c7729a7b36,c5d8f83c8db7492a655947c5e48065e7aa693b5b30671e474a8b88a538855279,9fd4627a4fe2bc04321081ade710f2bbe6f7ddd3cfbdf8a0deaea06a9f2fb1a108ba0a70cf1ec6c169384334338c14389398c27e6086d60ee629f78595c8b8d7
Captain Tomaday,captaintomaday,World,1999-05-27,Visco,SNK/Visco,#input:joystick>8:buttons>3 #players:2:coop #genre:shmup>v #arcadeboard:snk>mvs #lang:en #mameparent,ctomaday.zip,2a89a7400b39125453745fa2fcbc39f7,caa4335fabe44e08897d7745d0438f9db853838e,eacdf1de55924c91434e97dbceb20d736ec1c50b1f1a6ce0e4b7ff5906c5c5f4,3fbb2f62e2b6b7db883aef6de3495becb81cb910346f8311f4dc093c78c0df59da7bbaf3e0f68c6dbb869e68bfa6862ba0e70bea3095e8d65c08ac37c4fb02a6
Canvas Croquis,canvascroquis,World,1985,SNK,SNK,#input:joystick>8:buttons>1 #players:2:alt #genre:action>maze:puzzle #arcadeboard:snk #search:keyword>strip #lang:en #mameparent,canvas.zip,3d96a85a6ade65364fe6d87b101edebf,1a40782ea3deceae1caf91c9d4bce6df8558369b,817d313692e6f2af2882d724587aa121b709e4a42b0f4f257aeb40a4df301268,260a9697a288d864a3588ad6c2ee8c6d51ccce01ed74d3ab7e2f821649affa453fddb3b196f6bef1085c061eda934ba78246ff7507b1946896220bae1a9c2c0a
Chibi Maruko-chan: Maruko Deluxe Quiz@ちびまる子ちゃん まる子デラックスクイズ,marukodeluxequiz,Japan,1995-11-27,Be Top,SNK/Takara,#input:buttons>4 #players:2:vs #genre:quiz #based:manganime #arcadeboard:snk>mvs #lang:ja #mameparent,marukodq.zip,dce50285e1cb114b7ce4ad7f160ff096,ff433038edd688fae8fa6d0f0f9e89a7bbe2220b,2d51c78b679c7c9a8fb2c5cf30de42771b8b0449c3157b3e66f374319bd21e2b,aae2acd9f972551f6608108beb01e2b9b580e8a0a6474699f357f464e5e45989ea533678d2b92f6cf50822f3963e053c7b82b88d98f779814fd1b7d2ffdd9df3
Chōjin Gakuen Gowcaizer / Voltage Fighter Gowcaizer@超人学園ゴウカイザー / Voltage Fighter Gowcaizer,chojingakuengowcaizer,World,1995-09-18,Technōs,SNK/Technōs,#input:joystick>8:buttons>4 #players:2:vs #genre:fighting #based:manganime #arcadeboard:snk>mvs #lang:ja:en #mameparent,gowcaizr.zip,081e054de20c75e54208bfe2d16ce12a,21a5877afbadd46b75013b1ab12bc6a65fefc924,c572530cb459d07f5c75e3606eb8584fd1608eb1c8ab2093e08a5368df45d8e5,3464dab982abefa0d6b1fc31070c803ed0aa41437d36f7c9a40bd28296220a75144da315ab016d3c32ef3906582cdf2397064bfabc8d94a60e63732b42b2ea51
Chōtetsu Brikin'ger / Ironclad@超鉄ブリキンガー Brikin'ger / Ironclad 鉄生ル者,choutetsubrikinger,World,,Saurus,Saurus,#input:joystick>8:buttons>3 #players:2:coop #genre:shmup>h #arcadeboard:snk>mvs #lang:ja:en #unfinished:proto #mameparent,ironclad.zip,5b0dee1e2a0f21688134da5aa138fc03,f2aeba729019d5090f7585c068eceb95fa1b5eab,3210943367ea3f1476205c41101d619f0cd54f513fe4cb958e7be411351628f0,236b0012a6af473ab4a10644d79245bc82bd240a3fc0374131e47c9d633a64139cceee9dea84539b28b95e3b33b6a2634c3bff8782edea4ee94c78363b06c2c6
Chōtetsu Brikin'ger / Ironclad@超鉄ブリキンガー Brikin'ger / Ironclad 鉄生ル者,choutetsubrikinger,World,,Saurus,Saurus,#input:joystick>8:buttons>3 #players:2:coop #genre:shmup>h #arcadeboard:snk>mvs #lang:ja:en #unfinished:proto #unlicensed:bootleg,ironclado.zip|ironclad.zip,5b0dee1e2a0f21688134da5aa138fc03,f2aeba729019d5090f7585c068eceb95fa1b5eab,3210943367ea3f1476205c41101d619f0cd54f513fe4cb958e7be411351628f0,236b0012a6af473ab4a10644d79245bc82bd240a3fc0374131e47c9d633a64139cceee9dea84539b28b95e3b33b6a2634c3bff8782edea4ee94c78363b06c2c6
Country Club,countryclub,World,1988,SNK,SNK,#input:joystick>8:buttons>2 #players:2:vs #genre:sports>golf #arcadeboard:snk #lang:en #mameparent,countryc.zip,e9933a82a11213c8884a144fcd34b061,ebee1bc60f27d454174fff5ec4dfa072373261fe,819270f811b392aa1bcba29eb05ad95e6b7bc96ae69d2191f2bfb1cb9e32bfb9,2e283adc96fab08798d4bc5bf81b1360a3461da93a5cd5d62d094306befae3f4e52071423cd7193dd333b951ca2fcb6e8a5caabed4a0640285fc02d254287797
Crossed Swords,crossedswords,World,1991-07-25,Alpha Denshi,SNK/Alpha Denshi,#input:joystick>4:buttons>2 #players:2:coop #genre:action>hackandslash:shooting>gallery #arcadeboard:snk>mvs #lang:ja:en #mameparent,crsword.zip,35220fa05a4a520cd93b2422447b660d,6d40ae7ae608f6ce64e12705b09a930e3af49f8f,672d063e361142d982d3f60cfea20a81ceedd842bee5f66a029543eedd5fa5a3,fecc1cae3f51c00eea5b96b4f1d1089054d824c653449a935bb588c4ba0a7e4e63620bb086db2e21a9fa948e694728e8d186b3499f1cf762cc9ad3ad92155fce
