Screen title @ Exact,Cover title @ Exact,ID,Region,Release date,Developer,Publisher,Tags
Battle 上海 Dragon's Eye 上海IIIドラゴンズアイ,Battle Shanghai: Dragon's Eye@バトル 上海 ドラゴンズアイ 上海IIIドラゴンズアイ,dragonseyeshanghai3,Japan,1992-12-18,Home Data,ASK Kodansha,#players:5:vs #genre:puzzle #addon:peripheral>cdromrom:multitap>pce #port:pc:arcade #lang:en
Bazar de Gozarre no Game de Gozarre@バザールでござーるのゲームでござーる,Bazar de Gozarre no Game de Gozarre@バザールでござーるのゲームでござーる,bazardegozarrenogamedegozarre,Japan,1996-07-26,Game Freak,NEC Home Electronics,#players:1 #genre:action:puzzle #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja
Beast,Shadow of the Beast: Mashō no Okite@Shadow of the Beast シャドー･オブ･ザ･ビースト 魔性の掟,shadowofthebeast,Japan,1992-03-27,DMA Design/Reflections,Victor,#players:1 #genre:action #addon:peripheral>cdromrom:expansion>supersystemcard #port:commodore>amiga #lang:ja
Bikkuriman Daijikai@ビックリマン大事界,Bikkuriman Daijikai@ビックリマン大事界,bikkurimandaijikai,Japan,1988-12-23,Hudson,Hudson,#players:1 #genre:notagame>application #addon:peripheral>cdromrom #based:manganime #lang:ja
Bishōjo Senshi Sailor Moon@美少女戦士セーラームーン,Bishōjo Senshi Sailor Moon@美少女戦士セーラームーン,bishoujosenshisailormoon,Japan,1994-08-05,TamTam,Banpresto,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #based:manganime #lang:ja
Bishōjo Senshi Sailor Moon Collection@美少女戦士セーラームーン Collection コレクション,Bishōjo Senshi Sailor Moon Collection@美少女戦士セーラームーン Collection コレクション,bishoujosenshisailormooncollection,Japan,1994-11-25,TamTam,Banpresto,#players:1 #genre:minigames #addon:peripheral>cdromrom:expansion>supersystemcard #based:manganime #lang:ja
Black Hole Assault,Black Hole Assault@Black Hole Assault ブラックホールアサルト,blackholeassault,Japan,1993-07-23,Micronet,Micronet,#players:1 #genre:fighting #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:megacd #lang:ja
Blood Gear,Blood Gear@Blood Gear ブラッド・ギア,bloodgear,Japan,1994-10-28,Hudson/Westone/Red,Hudson,#players:1 #genre:action:rpg #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja
Bomberman: Panic Bomber@ボンバーマン ぱにっく ボンバー,Bomberman: Panic Bomber@ボンバーマン ぱにっく ボンバー,bombermanpanicbomber,Japan,1994-12-22,Hudson,Hudson,#players:5:vs #genre:puzzle>drop #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #lang:ja
Bonanza Bros.,Bonanza Bros.@Bonanza Bros. ボナンザブラザーズ,bonanzabros,Japan,1992-07-31,NEC Avenue,NEC Avenue,#players:2:coop #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #port:arcade #lang:ja
Brandish,Brandish@Brandish ブランディッシュ,brandish,Japan,1994-06-17,Falcom,NEC Home Electronics,#players:1 #genre:rpg>a #addon:peripheral>cdromrom:expansion>supersystemcard>arcadecard:mouse>pce #save:backup #port:nec>pc98 #lang:ja
Browning,Browning,browning,Japan,1992-02-07,Telenet,Riot,#players:1 #genre:action>runandgun #addon:peripheral>cdromrom:expansion>supersystemcard #lang:ja
BuilderLand: The Story of Melba,Builder Land@Builder Land ビルダーランド,builderland,Japan,1992-04-01,Loriciel,Micro World,#players:1 #genre:action:puzzle #addon:peripheral>cdromrom:expansion>supersystemcard #save:password #lang:en
Burai: Hachigyoku no Yūshi Densetsu@Burai 八玉の勇士伝説,Burai: Hachigyoku no Yūshi Densetsu@Burai ブライ 八玉の勇士伝説,buraihachigyokunoyuushidensetsu,Japan,1991-08-09,Riverhill,Riverhill,#players:1 #genre:rpg>j #addon:peripheral>cdromrom #save:backup #lang:ja
Burai II: Yami Kōtei no Gyakushū@Burai ブライII 闇皇帝の逆襲,Burai II: Yami Kōtei no Gyakushū@ブライII 闇皇帝の逆襲,burai2yamikouteinogyakushuu,Japan,1992-12-18,Riverhill,Riverhill,#players:1 #genre:rpg>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja
CAL II,CAL II,cal2,Japan,1993-03-31,Birdy,NEC Avenue,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:msx2 #lang:ja
CAL II,CAL II,cal2,Japan,1993-03-31,Birdy,NEC Avenue,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:msx2 #lang:ja #alt
CAL III: Kanketsu-hen@CAL III 完結編,CAL III,cal3,Japan,1994-03-25,Birdy,NEC Avenue,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc98 #lang:ja
Campaign Version: Daisenryaku II@Campaign Version 大戦略II,Campaign Version: Daisenryaku II@Campaign Version 大戦略II,campaignversiondaisenryaku2,Japan,1992-05-29,SystemSoft,Micro Cabin,#players:4:vs #genre:sim>strategy #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc88 #lang:ja
Cardangels,Cardangels@Cardangels カードエンジェルス,cardangels,Japan,1994-12-09,Fujicom,Fujicom,#players:2:vs #genre:board>cards #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #save:password #search:keyword>strip #lang:ja
CD Battle: Hikari no Yūshatachi@CD Battle 光の勇者たち,CD Battle: Hikari no Yūshatachi@CD Battle 光の勇者たち,cdbattlehikarinoyuusgatachi,Japan,1993-03-19,King Records,King Records,#players:2:vs #genre:sim>strategy #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #lang:ja
CD Denjin: Rockabilly Tengoku@CD電人 ロカビリー天国,CD Denjin: Rockabilly Tengoku@CD電人 ロカビリー天国,cddenjinrockabillytengoku,Japan,1993-07-23,Red/Hudson,Hudson,#players:1 #genre:shmup>h #addon:peripheral>cdromrom:expansion>supersystemcard #lang:ja
Chiki Chiki Boys,Chiki Chiki Boys@Chiki Chiki Boys チキチキボーイズ,chikichikiboys,Japan,1994-07-15,NEC Avenue,NEC Avenue,#players:2:coop #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #port:arcade #lang:ja
Chō Aniki@超兄貴,Chō Aniki@超兄貴,chouaniki,Japan,1992-12-25,NCS,Masaya,#players:1 #genre:shmup>h #addon:peripheral>cdromrom:expansion>supersystemcard #lang:ja
Chō Eiyū Densetsu: Dynastic Hero@超英雄伝説 ダイナスティックヒーロー,Chō Eiyū Densetsu: Dynastic Hero@超英雄伝説 ダイナスティックヒーロー,choueiyuudensetsudynastichero,Japan,1994-05-20,Westone/Syn,Hudson,#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #port:sega>megadrive #lang:ja
Chōjikū Yōsai Macross: Eien no Love Song@超時空要塞マクロス Macross 永遠のラヴソング,Chōjikū Yōsai Macross: Eien no Love Song@超時空要塞マクロス Macross 永遠のラヴソング,choujikuuyousaimacrosseiennolovesong,Japan,1992-12-04,NCS,Masaya,#players:1 #genre:rpg>s #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #based:manganime #lang:ja
Chōjikū Yōsai Macross 2036@超時空要塞マクロス Macross 2036,Chōjikū Yōsai Macross 2036@超時空要塞マクロス Macross 2036,choujikuuyousaimacross2036,Japan,1992-04-03,Dual,Masaya,#players:1 #genre:shmup>h #addon:peripheral>cdromrom:expansion>supersystemcard #based:manganime #lang:ja
Color Wars,Color Wars,colorwars,Japan,1992-07-10,Tomcat System,Coconuts,#players:4:vs #genre:puzzle #addon:peripheral>cdromrom:multitap>pce #save:backup #lang:ja
Cosmic Fantasy: Bōken Shōnen Yū@コズミック・ファンタジー 冒険少年ユウ,Cosmic Fantasy: Bōken Shōnen Yū@コズミック・ファンタジー 冒険少年ユウ,cosmicfantasyboukenshounenyuu,Japan,1990-03-30,Telenet,Laser,#players:1 #genre:rpg>j #addon:peripheral>cdromrom #save:backup #lang:ja
Cosmic Fantasy: Bōken Shōnen Yū@コズミック・ファンタジー 冒険少年ユウ,Cosmic Fantasy: Bōken Shōnen Yū@コズミック・ファンタジー 冒険少年ユウ,cosmicfantasyboukenshounenyuu,Japan,1990-03-30,Telenet,Laser,#players:1 #genre:rpg>j #addon:peripheral>cdromrom #save:backup #lang:ja #alt:1
Cosmic Fantasy: Bōken Shōnen Yū@コズミック・ファンタジー 冒険少年ユウ,Cosmic Fantasy: Bōken Shōnen Yū@コズミック・ファンタジー 冒険少年ユウ,cosmicfantasyboukenshounenyuu,Japan,1990-03-30,Telenet,Laser,#players:1 #genre:rpg>j #addon:peripheral>cdromrom #save:backup #lang:ja #alt:2
Cosmic Fantasy 2: Bōken Shōnen Ban@コズミック・ファンタジー2　冒険少年バン,Cosmic Fantasy 2: Bōken Shōnen Ban@コズミック・ファンタジー2　冒険少年バン,cosmicfantasy2boukenshounenban,Japan,1991-04-05,Telenet,Laser,#players:1 #genre:rpg>j #addon:peripheral>cdromrom #save:backup #lang:ja
Cosmic Fantasy 3: Bōken Shōnen Rei@コズミック・ファンタジー3 冒険少年レイ,Cosmic Fantasy 3: Bōken Shōnen Rei@コズミック・ファンタジー3 冒険少年レイ,cosmicfantasy3boukenshounenrei,Japan,1992-09-25,Open Sesame,Laser,#players:1 #genre:rpg>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja
Cosmic Fantasy 4: Ginga Shōnen Densetsu: Gekitō-hen: Hikari no Umi no Naka de...@コズミックファンタジー4 銀河少年伝説 激闘篇 光の宇宙の中で…,Cosmic Fantasy 4: Ginga Shōnen Densetsu: Gekitō-hen: Hikari no Umi no Naka de...@コズミックファンタジー4 銀河少年伝説 激闘篇 光の宇宙の中で…,cosmicfantasy4gingashounendensetsugh,Japan,1994-11-25,Telenet,Open Sesame,#players:1 #genre:rpg>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja
Cosmic Fantasy 4: Ginga Shōnen Densetsu: Totsunyū-hen: Densetsu e no Prelude@コズミックファンタジー4 銀河少年伝説 突入篇 伝説へのプレリュード,Cosmic Fantasy 4: Ginga Shōnen Densetsu: Totsunyū-hen: Densetsu e no Prelude@コズミックファンタジー4 銀河少年伝説 突入篇 伝説へのプレリュード,cosmicfantasy4gingashounendensetsuth,Japan,1994-06-10,Telenet,Open Sesame,#players:1 #genre:rpg>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja
Cyber City Oedo 808: Media Mix Entertainment: SF Hardboiled Adventure,Cyber City Oedo 808: Kemono no Alignment@Cyber City Oedo 808 獣の属性 アラインメント,cybercityoedo808kemononoalignment,Japan,1991-03-15,Dual,Masaya,#players:1 #genre:adventure #addon:peripheral>cdromrom #based:manganime #save:backup #lang:ja
Daisenpū Custom@大旋風 Custom,Daisenpū Custom@大旋風 Custom カスタム,daisenpuu,Japan,1991-07-26,NEC Avenue,NEC Avenue,#players:1 #genre:shmup>v #addon:peripheral>cdromrom #port:arcade #lang:ja
Davis Cup Tennis,The Davis Cup Tennis@The Davis Cup Tennis ザ・デビスカップテニス,daviscuptennis,Japan,1992-04-01,Loriciel,Micro World,#players:4:coop:vs #genre:sports>tennis #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #save:backup #search:keyword>official #lang:ja
De・Ja,De・Ja,deja,Japan,1996-07-12,NEC Interchannel,NEC Interchannel,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc88 #lang:ja
Dead of the Brain: Shiryō no Sakebi: Day of the Living Dead / Dead of the Brain 2@Dead of the Brain デッド・オブ・ザ・ブレイン 死霊の叫び Day of the Living Dead / Dead of the Brain 2,Dead of the Brain 1&2: Nightmare Collection@デッド・オブ・ザ・ブレイン1&2: Nightmare Collection,deadofthebrain1and2,Japan,1999-06-03,Fairytale,NEC Home Electronics,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc98 #multigame:compilation #lang:ja
Death Bringer: The Knight of Darkness,Death Bringer: The Knight of Darkness@Death Bringer デスブリンガー The Knight of Darkness,deathbringertheknightofdarkness,Japan,1990-04-27,Telenet,Reno,#players:1 #genre:rpg>j #addon:peripheral>cdromrom #save:backup #port:nec>pc88 #lang:ja
Dekoboko Densetsu: Hashiru Wagamanmer@デコボコ伝説走るワガマンマー,Dekoboko Densetsu: Hashiru Wagamanmer@デコボコ伝説走るワガマンマー,dekobokodensetsuhashiruwagamanmer,Japan,1990-11-02,Telenet,Reno,#players:5:vs #genre:racing>combat #addon:peripheral>cdromrom:multitap>pce #lang:ja
Dennō Tenshi: Digital Ange@電脳天使 デジタルアンジュ,Dennō Tenshi: Digital Ange@電脳天使 デジタルアンジュ,dennoutenshidigitalange,Japan,1994-11-16,Tokuma Shoten,Tokuma Shoten,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard:mouse>pce #save:backup #lang:ja
Develo: Starter Kit: Assembler-hen@Develo でべろ でべろスターターキット アセンブラ編,Develo: PC Engine User Kaihatsu System: Develo Starter Kit ・ Assembler-hen@Develo でべろ PCエンジンユーザー開発システム でべろスターターキット・アセンブラ編,develoassembler,Japan,1996,Tokuma Shoten,Tokuma Shoten,#players:1 #genre:notagame>application>educational #addon:peripheral>cdromrom:expansion>supersystemcard:develobox #lang:ja
Develo: Starter Kit: Basic-hen@Develo でべろ でべろスターターキット Basic編,Develo: Starter Kit: Basic-hen@Develo でべろ でべろスターターキット・Basic編,develobasic,Japan,1996,Tokuma Shoten,Tokuma Shoten,#players:1 #genre:notagame>application>educational #addon:peripheral>cdromrom:expansion>supersystemcard:develobox #lang:ja
Develo Magazine Vol. 1,Develo Magazine Vol. 1@Develo Magazine でべろマガジン Vol.1,develomagazinevol1,Japan,1996,Tokuma Shoten,Tokuma Shoten,#players:1 #genre:notagame>application>educational #addon:peripheral>cdromrom:expansion>supersystemcard #lang:ja
Doraemon: Nobita no Dorabian Night@ドラえもん のび太のドラビアンナイト,Doraemon: Nobita no Dorabian Night@ドラえもん のび太のドラビアンナイト,doraemonnndn,Japan,1992-05-29,Hudson,Hudson,#players:1 #genre:action>platformer #addon:peripheral>cdromrom:expansion>supersystemcard #based:movie:manganime #lang:ja
Double Dragon II: The Revenge@双截龍 II: Double Dragon: The Revenge,Double Dragon II: The Revenge@双截龍 II: Double Dragon: The Revenge,doubledragon2therevenge,Japan,1993-03-12,Naxat,Naxat,#players:2:coop #genre:brawler #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #port:arcade #lang:ja
Dōkyūsei@同級生,Dōkyūsei@同級生,doukyuusei,Japan,1995-11-23,Elf,NEC Avenue,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #port:nec>pc98 #lang:ja
Dōkyūsei@同級生,Dōkyūsei@同級生,doukyuusei,Japan,1995-11-23,Elf,NEC Avenue,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #port:nec>pc98 #lang:ja #alt:1
Dōkyūsei@同級生,Dōkyūsei@同級生,doukyuusei,Japan,1995-11-23,Elf,NEC Avenue,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #port:nec>pc98 #lang:ja #alt:2
Dōkyūsei@同級生,Dōkyūsei@同級生,doukyuusei,Japan,,Elf,NEC Avenue,#players:1 #genre:adventure #addon:peripheral>cdromrom:expansion>supersystemcard #port:nec>pc98 #lang:ja #rev:1
Down Load 2,Down Load 2@Down Load 2 ダウンロード2,download2,Japan,1991-03-29,NEC Avenue,NEC Avenue,#players:1 #genre:shmup>h #addon:peripheral>cdromrom #lang:ja
Downtown Nekketsu Kōshinkyoku: Soreyuke Daiundōkai@ダウンタウン熱血行進曲 それゆけ大運動会,Downtown Nekketsu Kōshinkyoku: Soreyuke Daiundōkai@ダウンタウン熱血行進曲 それゆけ大運動会,downtownnekketsukoushinkyoku,Japan,1992-12-11,Technōs,Naxat,#players:4:coop:vs #genre:action:brawler #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #port:nintendo>famicom #search:feature>kuniokun #lang:ja
Downtown Nekketsu Monogatari@ダウンタウン熱血物語,Downtown Nekketsu Monogatari@ダウンタウン熱血物語,downtownnekketsumonogatari,Japan,1993-12-24,Technōs,Naxat,#players:2:coop #genre:brawler #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #port:nintendo>famicom #search:feature>kuniokun #lang:ja
Dragon Ball Z: Idainaru Son Gokū Densetsu@Dragon Ball Z 偉大なる 孫悟空伝説,Dragon Ball Z: Idainaru Son Gokū Densetsu@Dragon Ball Z ドラゴンボール 偉大なる 孫悟空伝説,dragonballzidainarusongokuudensetsu,Japan,1994-11-11,Bandai,Bandai,#players:1 #genre:fighting #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #based:manganime #lang:ja
Dragon Half@Dragon Half ドラゴンハーフ,Dragon Half@Dragon Half ドラゴンハーフ,dragonhalf,Japan,1994-09-30,Micro Cabin,Micro Cabin,#players:4:vs #genre:board #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #based:manganime #port:nec>pc98 #lang:ja
Dragon Knight,Dragon Knight & Graffiti@Dragon Knight & Graffiti ドラゴンナイト アンド グラフィティー,dragonknightandgraffiti,Japan,1995-03-31,Elf,NEC Avenue,#players:1 #genre:adventure:rpg>dungeoncrawler>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc88 #lang:ja
Dragon Knight II,Dragon Knight II,dragonknight2,Japan,1992-08-07,Elf,NEC Avenue,#players:1 #genre:adventure:rpg>dungeoncrawler>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc88 #lang:ja
Dragon Knight III,Dragon Knight III@Dragon Knight III ドラゴンナイトIII,dragonknight3,Japan,1994-07-22,Elf,NEC Avenue,#players:1 #genre:rpg>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc98 #lang:ja
Dragon Slayer: The Legend of Heroes,Dragon Slayer: The Legend of Heroes: Eiyū Densetsu@Dragon Slayer: The Legend of Heroes ドラゴンスレイヤー 英雄伝説,dragonslayerthelegendofheroes,Japan,1991-10-25,Falcom,Hudson,#players:1 #genre:rpg>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc88 #search:franchise>dragonslayer #lang:ja
Dragon Slayer: The Legend of Heroes II,Dragon Slayer: Eiyū Densetsu II: The Legend of Heroes II@Dragon Slayer 英雄伝説II The Legend of Heroes II,dragonslayerthelegendofheroes2,Japan,1992-12-23,Falcom,Hudson,#players:1 #genre:rpg>j #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #port:nec>pc88 #search:franchise>dragonslayer #lang:ja
Dungeon Explorer II@Dungeon Explorer II ダンジョン エクスプローラー 2,Dungeon Explorer II@Dungeon Explorer II ダンジョン エクスプローラーII,dungeonexplorer2,Japan,1993-03-26,Hudson,Hudson,#players:5:coop #genre:rpg>a #addon:peripheral>cdromrom:expansion>supersystemcard:multitap>pce #save:backup #lang:ja
Dungeon Master: Theron's Quest,Dungeon Master: Theron's Quest,dungeonmastertheronsquest,Japan,1992-09-18,FTL,Victor,#players:1 #genre:rpg>dungeoncrawler #addon:peripheral>cdromrom:expansion>supersystemcard #save:backup #lang:ja
Duo Comic: Bakuretsu Hunter@Duo Comic 爆れつハンター,Duo Comic: Bakuretsu Hunter@Duo Comic 爆れつハンター,duocomicbakuretsuhunter,Japan,1994-01-01,MediaWorks,Hudson,#players:1 #genre:notagame>slideshow #addon:peripheral>cdromrom:expansion>supersystemcard #based:manganime #lang:ja
